ID ,currency,notional,start.date,maturity.date,strike,type,standard
1188,EUR,6000000,18/01/2018,18/01/2048,0.0151,receiver,TRUE
1187,EUR,24600000,18/01/2018,18/01/2028,0.00962,payer,TRUE
1186,EUR,42000000,18/01/2018,18/01/2023,0.00385,payer,TRUE
1185,EUR,8200000,29/12/2017,29/12/2037,0.0141,payer,TRUE
1184,EUR,14200000,29/12/2017,29/12/2027,0.00877,payer,TRUE
1183,EUR,15800000,29/12/2017,29/12/2024,0.00557,receiver,TRUE
1182,EUR,5900000,29/12/2017,29/12/2047,0.01474,receiver,TRUE
1181,EUR,9800000,29/12/2017,29/12/2032,0.01228,receiver,TRUE
1180,EUR,11200000,29/12/2017,29/12/2027,0.00887,payer,TRUE
1179,EUR,40900000,14/12/2017,14/12/2027,0.00802,payer,TRUE
1178,EUR,78000000,14/12/2017,14/12/2022,0.00212,payer,TRUE
1177,EUR,2200000,14/12/2017,14/12/2067,0.01411,receiver,TRUE
1176,EUR,21000000,14/12/2017,14/12/2047,0.014265,receiver,TRUE
1175,EUR,43000000,14/12/2017,14/12/2024,0.00455,receiver,TRUE
1174,EUR,10600000,07/12/2017,07/12/2047,0.01448,receiver,TRUE
1173,EUR,20300000,07/12/2017,07/12/2032,0.01173,receiver,TRUE
1172,EUR,24200000,07/12/2017,07/12/2024,0.00455,receiver,TRUE
1171,EUR,10000000,07/12/2017,07/12/2022,0.00198,payer,TRUE
1170,EUR,46400000,07/12/2017,07/12/2020,-0.00068,receiver,TRUE
1169,EUR,20400000,07/12/2017,07/12/2057,0.01489,payer,TRUE
1168,EUR,8100000,07/12/2017,07/12/2027,0.008105,payer,TRUE
1167,EUR,7200000,07/12/2017,07/12/2024,0.004425,receiver,TRUE
1166,EUR,27900000,07/12/2017,07/12/2022,0.00208,payer,TRUE
1165,EUR,4800000,23/11/2017,23/11/2057,0.01529,payer,TRUE
1164,EUR,22100000,23/11/2017,23/11/2037,0.01399,payer,TRUE
